

Data type: org.panda.causalpath.data.ProteinData
Row ID	Change amount	P-value	Q-value
CDK1	9.549433107742258	7.124163795470117E-5	0.007480371985243622
MSH2	6.59808748791351	0.0013629722473593629	0.07155604298636654
Bcl2	6.396145620202433	0.0016679739040825095	0.05837908664288783
Paxillin	-6.283343793611574	0.0018671467908244251	0.04901260325914116
Cyclin-E1	-6.061326148394245	0.002331307177353407	0.04895745072442155
PR	5.56556503199843	0.0038274173208991576	0.06697980311573526
Rb	5.3143810765995365	0.004920323116251358	0.07380484674377037
IGF1R-b	-5.29590445907096	0.0050120791044055485	0.06578353824532282
eIF4E	-5.293749009510461	0.00502289403944467	0.05860043046018781
INPP4b	-4.9886922208746896	0.00681457062054236	0.07155299151569479
FoxO3a	-4.768225943500308	0.008495438186441457	0.08109281905239572
Cyclin-B1	4.749070559284742	0.008659740178983338	0.0757727265661042
Stathmin-1	4.408130796160744	0.012177920083781378	0.09836012375361883
EGFR	4.258007101791059	0.014150474784356114	0.10612856088267086
14-3-3-epsilon	4.174183880429047	0.01538774477156353	0.10771421340094471
p27-Kip-1	-4.07316734250987	0.01702338413922104	0.11171595841363807
Fibronectin	-3.938073447167252	0.019485718873837415	0.12035296951487814
Src	3.868311080179613	0.02089362730424233	0.12187949260808027
Stat5a	3.8547265917911786	0.021179393138529085	0.11704401471292387
p70-S6K1	-3.7714687352039453	0.023018230761944414	0.12084571150020817
PTEN	-3.6885335826393417	0.025008648282375742	0.1250432414118787
MIG-6	-3.5171163520113535	0.029684912703909536	0.14167799245047732
p53	-3.4974804714271714	0.03027356252008354	0.13820539411342486
FAK	3.3765824903517823	0.034164011292790925	0.1494675494059603
Merlin	-3.3181805805210565	0.036218668794794254	0.15211840893813589
MEK1	-3.290887112111757	0.03722081570966495	0.15031483267364693
Smad3	-3.22989102961209	0.039561809619258634	0.15385148185267247
4E-BP1	-3.1781737441928275	0.04166167055602066	0.15623126458507747
Tau	-3.138735924914707	0.043337545203475464	0.15691180159879045
MSH6	3.06206341245713	0.04679104631315622	0.16376866209604676
Smad4	2.9198783892758655	0.053940246613957216	0.18270083530533895
Akt	-2.8802239162072807	0.056122194758093776	0.1841509515499952
b-Catenin	2.779254998895547	0.062084743354661624	0.1975423652193779
Snail	2.5657979569707696	0.07685782772688485	0.23735505621537967
k-Ras	2.3272396268004565	0.09756469068380162	0.29269407205140485
Notch3	-2.3021861778215356	0.10003989947497485	0.29178304013534334
HER3	-2.234402261792916	0.10705610225445446	0.3038078577491275
